Year,Make,Model,Sale Price
2016,alfa romeo,4C Spider,"$48,500"
2017,alfa romeo,Giulia Q4,"$13,450"
2012,ariel,Atom 3,"$64,000"
2011,audi,A3 2.0T Quattro,"$7,601"
2014,audi,A6 3.0T Quattro,"$21,773"
2004,audi,Allroad Quattro,"$8,800"
2019,audi,Q8,"$30,090"
2016,audi,S4,"$32,000"
2015,audi,S5 Cabriolet,"$21,250"
2006,chevrolet corvette,Coupe,"$25,500"
2024,chevrolet,Silverado 1500 Crew Cab RST Black Widow 4x4,"$65,000"
1999,chevrolet,Tahoe LT 4×4,"$8,800"
1998,ferrari,355 F1 Spider,"$63,500"
2018,fiat,124 Spider Abarth,"$23,300"
1996,fiat,Panda 4x4,"$10,001"
2023,ford,Bronco Raptor,"$65,000"
1995,ford,Bronco XLT 4x4,"$12,000"
2011,ford,F-150 Platinum Roush 4x4,"$31,000"
2013,ford,F-150 SVT Raptor,"$25,250"
1999,ford,F-250 Super Duty XLT 4x4,"$13,000"
2016,ford,Focus RS,"$16,750"
2024,ford,Mustang Dark Horse,"$68,500"
2006,ford,Ranger XLT SuperCab,"$6,750"
2008,gmc,Yukon XL Denali,"$14,000"
2017,jaguar,F-Type Coupe,"$22,500"
2004,jaguar,X-Type 3.0 AWD Sedan,"$3,000"
2000,jeep,Wrangler Sahara 4x4,"$8,300"
2000,jeep,Wrangler Sport 4x4,"$6,600"
2013,lexus,GX 460,"$14,000"
2000,lexus,LS 400 Platinum Series,"$9,900"
1997,lexus,LX 450,"$14,100"
2016,mercedes-amg,CLS63 S,"$47,500"
1991,mercedes-benz,300E,"$4,300"
2003,mercedes-benz,CLK55 AMG Coupe,"$9,800"
2017,mercedes-benz,CLS550,"$27,000"
2013,mercedes-benz,E350 4Matic Wagon,"$13,777"
1999,mercedes-benz,SL500,"$14,450"
2001,mercedes-benz,SL500,"$7,900"
1998,nissan,Skyline 25GT-T Coupe,"$27,400"
2007,porsche,911 Turbo Coupe,"$105,000"
1988,porsche,928 S4,"$5,928"
1986,porsche,944 Turbo,"$8,600"
2015,porsche,Boxster,"$41,500"
2005,porsche,Boxster S,"$21,050"
2009,porsche,Cayenne GTS,"$20,300"
2017,porsche,Cayenne GTS,"$30,500"
2014,porsche,Cayenne Turbo S,"$32,500"
2015,porsche,Macan Turbo,"$16,500"
2011,range rover,HSE,"$6,766"
2024,rivian,R1S Adventure Edition,"$74,000"
1990,rover,Mini,"$15,500"
2005,saab,9-2X Aero,"$6,900"
1993,subaru,Sambar Dias Extra S,"$5,503"
2021,tesla,Model 3 Performance,"$25,250"
2015,tesla,Model S 85D,"$10,300"
2021,tesla,Model S Long Range,"$34,000"
2018,tesla,Model X 75D,"$26,026"
2021,tesla,Model Y Long Range AWD,"$27,000"
1999,toyota,4Runner SR5 4x4,"$6,500"
2023,toyota,GR Corolla Morizo Edition,"$41,500"
1999,toyota,Land Cruiser Prado TX,"$15,619"
2011,volkswagen,GTI Autobahn,"$7,000"
2013,volvo,C30 Polestar Limited Edition,"$16,250"
2001,bmw,325Ci Convertible,"$5,400"
1995,bmw,525i Sedan,"$10,500"
2003,bmw,530i Sedan,"$6,200"
2005,bmw,645Ci Coupe,"$8,350"
2015,bmw,740Ld xDrive,"$18,250"
2016,bmw,750i,"$17,421"
1994,bmw,840Ci,"$17,600"
2021,bmw,M2 Competition FUTURA 2000 Edition,"$50,001"
2005,bmw,M3 Coupe,"$15,300"
2008,bmw,M5,"$26,000"
2022,bmw,M8 Competition Gran Coupe,"$84,500"
2013,bmw,X3 xDrive35i,"$8,000"
2006,bmw,Z4 3.0i Roadster,"$5,755"
2017,bmw,i3 Range Extender,"$9,659"
1991,honda,Acty SDX 4WD,"$5,600"
1999,honda,Acty Town Van 4WD,"$4,700"
2004,honda,Civic Si Hatchback,"$11,100"
1999,honda,Stepwgn,"$7,300"
1992,suzuki,Cappuccino,"$10,400"
1999,suzuki,Kei,"$3,200"
N/A,N/A,N/A,"$37,500"
N/A,N/A,N/A,"$3,600"
